,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Bouldering Sub-Area,Bouldering Area,Park Region,Park,State,Area Latitude,Area Longitude
424,1.8,Ceremonial Campus Problem,Boulder,V2,1,12.0,,Piano Rock,Gunsmoke Area,Barker Dam Bouldering,,Joshua Tree National Park,California,33.983309999999996,-116.15085
425,1.6,Corner Problem,Boulder,V0,1,12.0,,Chocolate Roof,Chocolate Boulders,Quail Springs Bouldering,,Joshua Tree National Park,California,33.984140000000004,-116.1525
426,1.6,Mister E,Boulder,V1,1,12.0,,The Hatrack,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.020379999999996,-116.16561999999999
427,2.0,Placebo,Boulder,V0,1,15.0,,Undertaker Boulder,Hemingway Boulders,Lost Horse Bouldering,,Joshua Tree National Park,California,34.00972,-116.16725
428,2.0,Short Crack,Boulder,V0,1,11.0,,The Purple Helmet,Western Belt,Geology Tour Road Bouldering,,Joshua Tree National Park,California,33.98965,-116.16317
429,2.0,Largo Dyno,Boulder,V4,1,11.0,,Maverick Boulder,Stonehenge Boulders,Stonehenge and Fry Boulders,,Joshua Tree National Park,California,34.02547,-116.1645
430,2.0,Weasel World,Boulder,V2,1,12.0,,Dino's Egg,,Outback Bouldering,,Joshua Tree National Park,California,34.01842,-116.16883999999999
431,2.0,Monkey Chow,Boulder,V4,1,10.0,,Mel's Diner Boulder,,Lost Horse Bouldering,,Joshua Tree National Park,California,34.02029,-116.16571
432,2.0,Enter the Melon,Boulder,V1,1,15.0,,Arete Boulders,Echo Cove Bouldering,Echo Rock Bouldering,,Joshua Tree National Park,California,34.01773,-116.1723
433,1.7,Crankcase,Boulder,V3,1,11.0,,Yabo Roof Area,JBMF Boulders,Roadside Rocks Bouldering,,Joshua Tree National Park,California,34.014309999999995,-116.15813999999999
434,1.4,Fedora,Boulder,V-easy,1,10.0,,Sacred Land Boulder,Painted Savage Boulders,Sacred Land,Ryan Campground Bouldering,Joshua Tree National Park,California,33.98928,-116.16353000000001
435,1.6,Turnbuckle Descent,Boulder,V-easy,1,12.0,,Pothole Rock,HVCG West,HVCG Bouldering Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.009640000000005,-116.16705
436,1.9,Augie Problem,Boulder,V0,1,20.0,Little Big Horn Boulder,Little Bighorn Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.01538,-116.16346000000001
437,1.9,Attractive Brunette Throw,Boulder,V2,1,12.0,,Dino's Egg,,Outback Bouldering,,Joshua Tree National Park,California,34.06269,-116.22639
438,1.5,Mini-Arete,Boulder,V-easy,1,10.0,The Asteroid Boulder,Asteroid Boulder Area,Asteroid Belt Circuit,Manx/Asteroid Belt Circuit,Hidden Valley Campground Bouldering,Joshua Tree National Park,California,34.06262,-116.22636999999999
439,2.0,Balance Problem,Boulder,V2,1,22.0,,The Hatrack,,Cap Rock Bouldering,,Joshua Tree National Park,California,34.02807,-116.14776
